id,name,chain,volume,market_cap,floor_price,avg_price,sales,assets,owners
1,CLONE X,Ethereum,"169,068.26 ETH","429,065.52 ETH",19 ETH,11.6 ETH,,"19,188","8,873"
2,Mutant Ape Yacht Club,Ethereum,"308,185.49 ETH","508,493 ETH",25.79 ETH,10.72 ETH,,"18,583","12,292"
3,Bored Ape Yacht Club,Ethereum,"486,644.34 ETH","1,196,133.45 ETH",110.9 ETH,19.08 ETH,,"9,999","6,419"
4,Azuki,Ethereum,"177,880.51 ETH","334,568.23 ETH",26 ETH,8.2493 ETH,,"10,000","5,467"
5,alien frens,Ethereum,"24,305.94 ETH","26,325.53 ETH",2.65 ETH,0.881 ETH,,"10,000","6,779"
6,Kiwami,Ethereum,"13,895.19 ETH","11,380.58 ETH",0.489 ETH,0.6098 ETH,,"10,000","4,576"
7,CryptoPunks,Ethereum,"883,641.07 ETH","599,131.26 ETH",--,44.7 ETH,,"9,999","3,424"
8,World of Women Galaxy,Ethereum,"23,813.36 ETH","36,308.06 ETH",1.385 ETH,1.9016 ETH,,"20,931","11,059"
9,CyberBrokers,Ethereum,"27,016.71 ETH","54,847.79 ETH",4.4 ETH,2.7301 ETH,,"9,987","3,683"
10,mfers,Ethereum,"33,046.61 ETH","39,015.35 ETH",3.1 ETH,1.4148 ETH,,"10,021","5,340"
1,CryptoPunks,Ethereum,"883,641.07 ETH","599,131.26 ETH",--,44.7 ETH,,"9,999","3,424"
2,Bored Ape Yacht Club,Ethereum,"486,644.34 ETH","1,196,133.45 ETH",110.9 ETH,19.08 ETH,,"9,999","6,419"
3,Mutant Ape Yacht Club,Ethereum,"308,185.49 ETH","508,493 ETH",25.79 ETH,10.72 ETH,,"18,583","12,292"
4,Azuki,Ethereum,"177,880.51 ETH","334,568.23 ETH",26 ETH,8.2493 ETH,,"10,000","5,467"
5,CLONE X,Ethereum,"169,068.26 ETH","429,065.52 ETH",19 ETH,11.6 ETH,,"19,188","8,873"
6,WIN NFT HORSE,BSC,"444,312,535.54 BUSD","1,510,190,245.12 BUSD",274 BUSD,"57,702.93 BUSD",,"10,000",875
7,Doodles,Ethereum,"102,329.53 ETH","165,989.87 ETH",15.68 ETH,4.9077 ETH,,"10,000","4,631"
8,Meebits,Ethereum,"102,011.52 ETH","109,124.38 ETH",4.25 ETH,5.3954 ETH,,"20,000","6,198"
9,Cool Cats,Ethereum,"97,791.62 ETH","89,715.14 ETH",8.39 ETH,3.6155 ETH,,"9,941","5,385"
10,Bored Ape Kennel Club,Ethereum,"79,830.48 ETH","77,757.38 ETH",7.5 ETH,4.0717 ETH,,"9,602","5,511"
11,Loot (for Adventurers),Ethereum,"74,157.22 ETH","16,079.63 ETH",1.9 ETH,6.383 ETH,,"7,779","2,566"
12,Cryptoadz,Ethereum,"64,675.3 ETH","23,143.43 ETH",2.843 ETH,3.2822 ETH,,"7,014","3,997"
13,World of Women,Ethereum,"64,403.53 ETH","89,361.05 ETH",8.69 ETH,2.7754 ETH,,"10,000","5,323"
14,Genesis StarSharks Mystery Box,BSC,"197,246,499.33 BUSD","88,209,389.04 BUSD",450 BUSD,"15,478.81 BUSD",,"10,000",339
